"","Species","SpecCode.x","Genus.x","SpeciesRefNo","Author","PicPreferredName","FamCode","GenCode","BodyShapeI","Source","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","Vulnerability","Length","LTypeMaxM","MaxLengthRef","PriceCateg","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","UsedasBait","Aquarium","GameFish","Dangerous","Electrogenic","GoogleImage","Comments","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","SpecCode.y","Genus.y","Family","Order","Class","SuperClass","Phylum","AreaCode","StockCode","Status","FAO","Invasive","MaxLengthTL","Troph","TempPrefMin","TempPrefMean","TempPrefMax"
"237","Diplodus annularis",1752,"Diplodus",3688,"(Linnaeus, 1758)","Diann_u4.jpg",330,6472,"fusiform / normal","R",0,0,1,1,"benthopelagic","WaterAssumed",35.68,28,"TL",124816,"low",0,0,0,1,0,1,0,0,0,0,"never/rarely","never/rarely",NA,1,"harmless","no special ability",1,"Inhabit chiefly <i>Zostera</i> seagrass beds but also found on <i>Posidonia</i> beds and sandy bottoms, rarely on rocky bottoms.  Carnivorous, feed on worms, crustaceans, mollusks, echinoderms and hydrozoans.  The sexes are separated, although these fish are potential hermaphrodites; certain individuals are protandric (Ref. 4781).",0.5,0,3,1990-10-24,2448,2022-06-23,1752,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,1948,"native","Mediterranean and Black Sea","No",28,3.05999994277954,14.8,18.3,21.1
"238","Diplodus bellottii",8062,"Diplodus",3688,"(Steindachner, 1882)","Dibel_u3.jpg",330,6472,"fusiform / normal","R",0,0,0,1,"benthopelagic","WaterAssumed",35.74,30,"SL",4781,"high",1,1,0,0,0,1,0,0,1,1,"never/rarely",NA,NA,0,"harmless","no special ability",1,"Gregarious.  Inhabits the upper portion of the continental shelf from the coastline to 100 m depth, but especially from 30 to 50 m.  Occurs on various types of bottom.  Sometimes forms sizeable aggregations.  Feeds on small benthic mollusks and crustaceans (Ref. 4781).  Important food fish. Minimum depth range from Ref. 113561.",0.5,0,10,1993-05-26,2495,2020-03-02,8062,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,8373,"native","Mediterranean and Black Sea","Yes",36.5999984741211,3.54999995231628,17.6,18.9,21.6
"239","Diplodus cervinus",2497,"Diplodus",3688,"(Lowe, 1838)","Dicer_u2.jpg",330,6472,"fusiform / normal","R",1,0,0,1,"reef-associated","WaterAssumed",54.55,55,"TL",2715,"low",0,1,0,1,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Benthopelagic on the shelf, on rocky bottoms from 30 to 80 m depth, but may also occur down to 300 m on muddy bottoms.  Forms schools of 4 or 5 individuals of different sizes.  Omnivorous, feeds on small invertebrates and seaweeds (Ref. 4781).",0.5,0,2,1991-03-07,14,2014-05-14,2497,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,2691,"native","Mediterranean and Black Sea","No",55,2.99000000953674,13.3,14.9,17.9
"240","Diplodus puntazzo",1749,"Diplodus",3688,"(Walbaum, 1792)","Dipun_u2.jpg",330,6472,"fusiform / normal","R",0,0,1,1,"benthopelagic","WaterAssumed",40.17,60,"TL",3397,"low",0,1,0,1,0,1,0,0,1,1,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Benthopelagic marine species. Gregarious species living in coastal waters on rocky or sandy bottoms, up to 1 50 m (only occasionally over 50 m). Younger individuals can also be found in brackish waters and may live in littoral pools (sometimes in brackish waters and lagoons), the adults often occur in the surf zone.  Feeds on seaweeds, worms, mollusks and shrimps (Ref. 4781).  Very common in the Mediterranean.  In the Atlantic occurs from Gibraltar to the coasts off Sierra Leone, including the coasts of the Canary Islands and Cape Verde.  Less often found off the Iberian Atlantic coasts and Bay of Biscay. Scarce in the Black Sea.  Permanent hermaphrodite species with some protandric episodes  (behaving as male after its first sexual maturity to become female later on).  Reproduction happens by the end of the summer and autumn. Egg size 0.85 mm, larval length at hatching 1.7 mm.",0.5,0,5,1990-10-23,65,2021-10-21,1749,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,1945,"native","Mediterranean and Black Sea","No",60,3.07999992370605,16,19.1,21.6
"241","Diplodus sargus",1753,"Diplodus",3397,"(Linnaeus, 1758)","Disar_ud.jpg",330,6472,"fusiform / normal","O",0,0,1,1,"demersal","WaterAssumed",56.85,45,"TL",3397,"very high",0,0,0,0,0,0,0,0,0,0,"commercial",NA,NA,1,"harmless","no special ability",1,"Inhabits coastal rocky reef areas (Ref. 12460) and <i>Posidonia oceanica</i> beds.  Like other sparids, it is very active and frequents the surf zone, primarily at dawn (Ref. 13780).  Feeds on shellfish and other benthic invertebrates which it picks from the sediment (Ref. 5377).",0.5,0,3,1990-10-24,14,2017-06-19,1753,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,1949,"native","Mediterranean and Black Sea","No",45,3.38000011444092,15,18.8,24.1
"242","Diplodus vulgaris",1754,"Diplodus",3688,"(Geoffroy Saint-Hilaire, 1817)","Divul_u1.jpg",330,6472,"fusiform / normal","R",0,0,0,1,"benthopelagic","WaterAssumed",31.71,45,"TL",3397,"low",1,1,0,1,0,1,0,0,1,0,"never/rarely","never/rarely","commercial",1,"harmless","no special ability",1,"A euryhaline species inhabiting rocky and sometimes sandy bottoms to depths of 160 m, but more commonly in less than 50 m.  The young are sometimes found in seagrass beds.  Adults feed on crustaceans, worms and mollusks (Ref. 3688).  Important food fish.",0.5,0,3,1990-10-24,65,2013-07-18,1754,"Diplodus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,1950,"native","Mediterranean and Black Sea","No",45,3.51999998092651,15.9,18.8,21.6
"243","Dipterygonotus balteatus",928,"Dipterygonotus",1723,"(Valenciennes, 1830)","Dibal_u0.jpg",459,1479,"fusiform / normal","R",0,0,0,1,"reef-associated","WaterAssumed",10,14,"TL",402,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","usually","never/rarely",0,"harmless","no special ability",1,"Primarily a near-shore pelagic species (Ref. 30573), but swims mainly in open water away from reefs (Ref. 48636).  Forms dense aggregations (Ref. 90102).  Mixed with other planktivores and is easily overlooked.  Feeds on zooplankton (Ref. 30573).  Oviparous, with numerous, small pelagic eggs (Ref. 402).  Caught at night using lights and dip nets (Ref. 30573).  Important tuna bait fish in some countries (Ref. 30573).",1,0,2,1990-10-17,2310,2013-04-16,928,"Dipterygonotus","Caesionidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",14,3.40000009536743,23.8,27.4,28.4
"244","Dipturus batis",2058,"Dipturus",27314,"(Linnaeus, 1758)","Dibat_m0.jpg",19,3644,"other","r",1,0,0,1,"demersal","WaterAssumed",86.21,285,"TL",35388,"medium",0,0,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","weakly discharging",1,"Benthic species in shelf and slope waters, mainly within the 200 m range along the continental shelf, but down to 600 m along continental slopes and seamounts (Ref. 127222). Feeds on all kinds of bottom invertebrates and fish, including other skates (Ref. 114953). Oviparous, with long embryonic development. Males reach maturity at ca. 115 cm TL, females at 123 cm TL; birth size at ca. 21 cm TL (Ref. 114953). Biology may be unclear due to past taxonomic confusion Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Mate in spring and the egg capsules are laid during the summer.  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 10.6-24.5 cm long and 5.0-14.5  cm wide (Ref. 41250).  About 40 eggs per individual are laid annually (Ref. 41250).  Flesh is marketed fresh or smoked (Ref. 35388).",0.5,0,2,1991-01-18,14,2022-09-06,2058,"Dipturus","Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes","Chordata",37,2253,"native","Mediterranean and Black Sea","No",285,3.51999998092651,7.1,9.8,15
"245","Dipturus nidarosiensis",8900,"Dipturus",27314,"(Storm, 1881)","Dinid_u0.jpg",19,3644,"other","r",0,0,0,1,"bathydemersal","WaterAssumed",90,200,"TL",4426,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","weakly discharging",1,"Inhabit deep slope waters (Ref. 3167), probably most common on the mid-slope (Ref. 114953).  Feed on all kinds of bottom animals (Ref. 3167), mainly invertebrates and small fishes (Ref. 114953).  Size possibly up to 250 cm TL (Ref. 114953). Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 18.2-26.0 cm long and 9.2-11.3 cm wide (Ref. 41251, 41309). Sizes of maturity and hatching unknown (Ref. 114953).",0.5,0,3,1994-03-03,2648,2018-11-20,8900,"Dipturus","Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes","Chordata",37,9221,"native","Mediterranean and Black Sea","No",200,3.5,2.1,7.1,10.8
"246","Dipturus oxyrinchus",7616,"Dipturus",27314,"(Linnaeus, 1758)","Dioxy_u0.gif",19,3644,"other","R",0,0,0,1,"bathydemersal","WaterAssumed",90,150,"TL",4426,"medium",0,0,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",0,"harmless","weakly discharging",1,"Found in deeper slope waters (Ref. 4426), but mainly around 200 m (Ref. 3167, Ref. 114953).  Found on sand and sand-rock  bottoms (Ref. 6808).  Feeds on all kinds of bottom animals (Ref. 3167), mainly cephalopods and crustaceans (Ref. 114953).  Minimum depth reported taken from Ref. 6808.  Become sexually mature at a length of about 120 cm (Ref. 35388); young hatch at ca. 17 cm TL (Ref. 114953).  Breeds in spring and early summer (Ref. 114953). Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 14.0-23.5 cm long and 11.0-12.0 cm wide (Ref. 41251, 41304).",0.5,0,18,1993-03-13,2237,2023-01-11,7616,"Dipturus","Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes","Chordata",37,7920,"native","Mediterranean and Black Sea","No",150,3.5,5.4,10.2,14.4
"247","Dussumieria acuta",1453,"Dussumieria",127773,"Valenciennes, 1847","Duacu_u1.jpg",683,7125,"fusiform / normal","R",0,1,1,1,"pelagic-neritic","WaterAssumed",20.07,20,"SL",188,"low",1,1,0,0,0,1,0,0,0,1,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Mainly a pelagic inshore species (Ref. 68964).  Earlier studies on the habitat and biology may have equally referred to <i>D. elopsoides</i> which this species closely resembles.  Can also be caught with ringnets and dipnets.  Occurrence reportedly reaches  inland (Ref. 94476).",0.751999974250793,0,3,1990-10-17,2291,2015-10-30,1453,"Dussumieria","Dussumieriidae","Clupeiformes","Teleostei","Osteichthyes","Chordata",37,1646,"questionable","Mediterranean and Black Sea","No",24.3999996185303,3.40000009536743,25.9,28.8,29.3
"248","Dussumieria elopsoides",1454,"Dussumieria",188,"Bleeker, 1849","Duelo_u1.jpg",683,7125,"fusiform / normal","R",0,0,0,1,"pelagic-neritic","WaterAssumed",24.38,20,"SL",188,"low",1,1,0,0,0,1,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Pelagic inshore (Ref. 68964). The habitat and biology are presumably similar to those of <i>D. acuta</i> from which this species was not distinguished in earlier studies.  Marketed fresh, may be dried or salted (Ref. 5284).",0.751999974250793,0,3,1990-10-17,2291,2015-10-30,1454,"Dussumieria","Dussumieriidae","Clupeiformes","Teleostei","Osteichthyes","Chordata",37,1647,"native","Mediterranean and Black Sea","Yes",24.3999996185303,3.40000009536743,25.4,28.3,29.1
"249","Dysomma brevirostre",9101,"Dysomma",5235,"(Facciolà, 1887)","Dybre_u0.jpg",57,6485,"eel-like","R",0,0,0,1,"benthopelagic","WaterAssumed",20,30,"TL",5235,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Found on the upper continental slope (Ref. 5235), over soft substrate (Ref. 58302).",0.500100016593933,0,3,1994-03-06,1472,2007-06-08,9101,"Dysomma","Synaphobranchidae","Anguilliformes","Teleostei","Osteichthyes","Chordata",37,9422,"native","Mediterranean and Black Sea","No",30,3.75,7.7,11.5,15.3
"250","Echelus myrus",1713,"Echelus",4455,"(Linnaeus, 1758)","Ecmyr_u1.jpg",66,6035,"eel-like","R",0,0,1,1,"demersal","WaterAssumed",60,100,"TL",3397,"unknown",0,0,0,0,0,0,0,0,1,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Found on mud and sand bottom of estuaries and coastal lagoons.  Burrows in sand with only the head protruding (Ref. 2683).",0.5625,0,5,1990-10-22,14,2015-01-30,1713,"Echelus","Ophichthidae","Anguilliformes","Teleostei","Osteichthyes","Chordata",37,1909,"native","Mediterranean and Black Sea","No",100,4.26000022888184,12.6,14.8,17.2
"251","Echeneis naucrates",2467,"Echeneis",7300,"Linnaeus, 1758","Ecnau_uc.jpg",313,5569,"elongated","R",0,0,1,1,"reef-associated","WaterAssumed",66,110,"TL",9710,"high",0,1,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","commercial",1,"harmless","no special ability",1,"Most abundant remora in warm waters (Ref. 4389).  Occurs near as well as far from the coast (Ref. 5217).  Often found free-swimming in shallow inshore areas and around coral reefs (Ref. 26938).  Attaches temporarily to a variety of hosts including sharks, rays, large bony fishes or sea turtles, whales, dolphins and also to ships.  May follow divers (Ref. 9710); reported to attach itself to a diver's leg (Ref. 57809).  Feeds on small fishes, bits of its host's prey and host's parasites (Ref. 26938).  Juveniles occasionally act as reef station-based cleaners, where they service parrotfishes (Ref. 40095).  Sometimes used by natives to aid in fishing; a line is tied to the caudal peduncle of the remora and then is released; upon attaching to another fish, the remora and its host are hauled in by the fisher (Ref. 9682).",0.753899991512299,0,2,1991-03-06,2291,2015-04-28,2467,"Echeneis","Echeneidae","Carangiformes","Teleostei","Osteichthyes","Chordata",37,2661,"native","Mediterranean and Black Sea","No",110,3.6800000667572,18.3,27.2,28.6
"252","Echiichthys vipera",1364,"Echiichthys",6790,"(Cuvier, 1829)","Ecvip_u2.jpg",377,8501,"elongated","R",0,0,0,1,"demersal","WaterAssumed",10,15,"SL",4675,"unknown",1,0,0,1,0,0,0,0,1,0,"never/rarely","never/rarely",NA,1,"venomous","no special ability",1,"Littoral and benthic, on sandy, muddy or gravelly bottoms, from a few meters to about 150 m (in winter).  Rest on the bottom, often buried with eyes and tip of first dorsal fin exposed.  Considered as the most dangerous of the European weevers, both for its poison and for its frequent occurrence very near to beaches (Ref. 4675). There are venom glands on the first dorsal fin, which is totally black, and on the gill cover (Ref. 6790).  Also Ref. 57406.",1.00199997425079,0,2,1990-10-17,65,2014-02-27,1364,"Echiichthys","Trachinidae","Perciformes/Percoidei","Teleostei","Osteichthyes","Chordata",37,1382,"native","Mediterranean and Black Sea","No",18.2999992370605,4.40999984741211,7.3,10.5,16.1
"253","Echinorhinus brucus",641,"Echinorhinus",247,"(Bonnaterre, 1788)","Ecbru_u2.jpg",499,470,"elongated","R",0,0,0,1,"bathydemersal","WaterAssumed",90,310,"TL",247,"unknown",0,0,0,0,0,0,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","electrosensing only",1,"A rare (Ref. 26346), large, sluggish, deepwater shark found on continental and insular shelves and upper slopes (Ref. 247).  Sometimes found in shallow water (Ref. 247).  Feeds on smaller sharks, bony fishes, and crabs (Ref. 247).  Ovoviviparous (Ref. 205), with 15-26 young in a litter (26346).  Never recorded as attacking people.  Sometimes hooked by shore anglers (Ref. 5578).  Processed into fishmeal.  May be used in traditional medicine in southern Africa (Ref. 5578).",1,0,23,1992-06-15,2,2005-01-06,641,"Echinorhinus","Echinorhinidae","Echinorhiniformes","Elasmobranchii","Chondrichthyes","Chordata",37,657,"native","Mediterranean and Black Sea","No",310,4.38000011444092,4.1,8.5,13.9
"254","Echiodon dentatus",46343,"Echiodon",34024,"(Cuvier, 1829)","Ecden_u1.jpg",187,9706,"eel-like","R",0,0,0,1,"demersal","WaterAssumed",10,17,"TL",4741,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Uncommon species (Ref. 34024).  Adults are benthic, juveniles are free-swimming (Ref. 6491). Depth range reported in Ref. 57178 taken from Ref. 040919.",0.500100016593933,0,34,1998-02-15,303,2007-11-16,46343,"Echiodon","Carapidae","Ophidiiformes","Teleostei","Osteichthyes","Chordata",37,39050,"native","Mediterranean and Black Sea","No",17,3.54999995231628,6.8,13.5,13.9
"255","Echiodon drummondii",65,"Echiodon",34024,"Thompson, 1837","Ecdru_u0.jpg",187,9706,"eel-like","R",0,0,0,1,"bathydemersal","WaterAssumed",20,30,"TL",4741,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Common species.  Free-living, fairly deep.  Assumed to feed on small invertebrates and fish (Ref. 34024).  Feed on small bottom animals (Ref. 35388).",0.500100016593933,0,1,1990-10-17,113,2003-07-09,65,"Echiodon","Carapidae","Ophidiiformes","Teleostei","Osteichthyes","Chordata",37,75,"native","Mediterranean and Black Sea","No",30,4.03000020980835,7.1,8.4,10.2
"256","Elagatis bipinnulata",412,"Elagatis",3197,"(Quoy & Gaimard, 1825)","Elbip_u7.jpg",314,1900,"fusiform / normal","o",0,0,0,1,"reef-associated","WaterAssumed",50.69,180,"TL",26340,"medium",1,1,1,0,0,1,0,0,0,0,"never/rarely","never/rarely","never/rarely",1,"reports of ciguatera poisoning","no special ability",1,"Adults are found in oceanic and coastal waters, generally near the surface over reefs or sometimes far from the coast often around floating logs or other debris (Ref. 9283, 11230, 48635, 90102).  May form large schools (Ref. 9283, 48635).  They feed on invertebrates, mainly on larger crustaceans of the zooplankton, and small fishes (Ref. 9283, 26145).  Eggs are pelagic (Ref. 4233).  Good food fish (Ref. 9626) and a valued game fish (Ref. 26938); marketed fresh and salted or dried (Ref. 9283); also frozen and used for sashimi (Ref. 9987).",1,0,2,1990-10-17,97,2017-06-07,412,"Elagatis","Carangidae","Carangiformes","Teleostei","Osteichthyes","Chordata",37,426,"native","Mediterranean and Black Sea","No",180,4.26999998092651,22.8,27.5,28.8
"257","Elates ransonnettii",6637,"Elates",7300,"(Steindachner, 1876)","Elran_u1.jpg",273,3368,"elongated","R",0,0,0,1,"demersal","WaterAssumed",10,19,"TL",9790,"high",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Taken by trawling over sand bottoms from about 5 to 53 m (Ref. 9790).",1,0,3,1992-11-27,303,2009-02-06,6637,"Elates","Platycephalidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes","Chordata",37,6957,"introduced","Mediterranean and Black Sea","Yes",19,4.1100001335144,24.6,28,29
"258","Electrona risso",1714,"Electrona",4479,"(Cocco, 1829)","Elris_u2.jpg",167,2669,"elongated","R",0,0,0,1,"bathypelagic","WaterAssumed",10,8.39999961853027,"SL",126117,"high",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Oceanic, found between 225-750 m during the day and between 90-375 m (juveniles) and 450-550 m (adults) at night.  Epipelagic to mesopelagic (Ref. 31442).  Widespread distribution in all oceans, limited by 10° and 15°C isotherms at 200 m and by a productivity greater than 50g Carbon per square meter per year.  Sexually mature from about 5.9 cm.  Spawn mainly during summer to autumn in the Mediterranean (Ref. 4775).  Oviparous, with planktonic eggs and larvae (Ref. 31442).  Also Ref. 58302.",0.531199991703033,0,5,1990-10-22,65,2022-05-31,1714,"Electrona","Myctophidae","Myctophiformes","Teleostei","Osteichthyes","Chordata",37,1910,"native","Mediterranean and Black Sea","No",10.25,3.40000009536743,5.4,10.1,14.9
"259","Enchelycore anatina",8087,"Enchelycore",4450,"(Lowe, 1838)","Enana_u1.jpg",56,1716,"eel-like","R",0,0,0,1,"demersal","WaterAssumed",72,120,"TL",5288,"medium",0,0,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Occasional among rocks and rubble to depths of at least 10 m.  They stay concealed among rocks, waiting for prey to come along.  Are active predators which feed on crustaceans and fish (Ref. 5377).  Possibly  consumed in subsistence fisheries (Ref. 3254).",0.500199973583221,0,22,1993-06-07,1472,2007-03-29,8087,"Enchelycore","Muraenidae","Anguilliformes","Teleostei","Osteichthyes","Chordata",37,8397,"introduced","Mediterranean and Black Sea","Yes",120,4.01999998092651,18.4,19.8,20.1
"260","Encrasicholina gloria",68447,"Encrasicholina",116573,"Hata & Motomura, 2016",NA,454,7622,"elongated","o",NA,0,0,1,"pelagic-neritic","WaterAssumed",10,7.19999980926514,"SL",116573,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,NA,0.503899991512299,0,14,2017-11-23,NA,2017-11-23,68447,"Encrasicholina","Engraulidae","Clupeiformes","Teleostei","Osteichthyes","Chordata",37,60023,"native","Mediterranean and Black Sea","Yes",8.77999973297119,3.20000004768372,NA,NA,NA
"261","Engraulis encrasicolus",66,"Engraulis",189,"(Linnaeus, 1758)","Enenc_u1.jpg",454,498,"elongated","R",0,0,1,1,"pelagic-neritic","WaterAssumed",28.59,20,"SL",189,"medium",1,0,0,1,0,1,0,0,0,0,"never/rarely","usually","never/rarely",0,"harmless","no special ability",1,"Mainly oceanic, marine species, forming large schools (see Ref. 126017:598).  Tolerates salinities of 5-41 ppt and in some areas, enters lagoons, estuaries and lakes, especially during spawning.  Tends to move further north and into surface waters in summer, retreating and descending in winter.  Feeds on planktonic organisms.  Spawns from April to November with peaks usually in the warmest months.  Eggs are ellipsoidal to oval, floating in the upper 50 m and hatching in 24-65 hours.  Marketed fresh, dried, smoked, canned and frozen; made into fish meal (Ref. 9987).",0.501999974250793,0,3,1990-10-17,14,2022-04-08,66,"Engraulis","Engraulidae","Clupeiformes","Teleostei","Osteichthyes","Chordata",37,76,"native","Mediterranean and Black Sea","No",24.3999996185303,3.11999988555908,7.1,10.8,18
"262","Engraulis maeoticus",64732,"Engraulis",126017,"Pusanov & Zeeb, 1926",NA,454,498,"Elongated","O",2,0,1,1,"pelagic-neritic","WaterAssumed",10,9.44999980926514,"SL",76782,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"This species is observed in brackish lagoons from the start of spring to the end of summer; leaves the lagoons in autumn to the nearby coastal marine waters (see Ref. 126017:598). It is presumed to spawn in lagoons in the summer (based on the observation of concentrations of small-sized anchovies together with large densities of eggs in the Thau lagoon, southern France, in July and on the presence of sexually mature individuals, 8-9 cm SL, in the Mauguio and Prevost lagoons, southern France, observed as early as May.  In the northern Adriatic Sea, it lives at salinities less than 38 psu and depths less than 50 m (Ref. 76782).",0.501999974250793,0,14,2008-11-07,14,2022-04-08,64732,"Engraulis","Engraulidae","Clupeiformes","Teleostei","Osteichthyes","Chordata",37,54717,"endemic","Mediterranean and Black Sea","No",11.5299997329712,3.02999997138977,NA,NA,NA
"263","Entelurus aequoreus",67,"Entelurus",6733,"(Linnaeus, 1758)","Enaeq_m0.jpg",258,2664,"eel-like","R",0,0,1,1,"demersal","WaterAssumed",34.25,40,"TL",6733,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","public aquariums",0,"harmless","no special ability",1,"Adults inhabit inshore waters, among algae.  Females with 1,000 or more ovarian eggs (Ref. 6733).  Feed on small crustaceans and fish fry (Ref. 35388).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",1,0,2,1990-10-17,2,2016-10-15,67,"Entelurus","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes","Chordata",37,77,"native","Mediterranean and Black Sea","No",60,3.53999996185303,7.3,10.1,12.5
"264","Ephippion guttifer",4960,"Ephippion",7464,"(Bennett, 1831)","Epgut_u3.jpg",448,863,"fusiform / normal","R",0,0,1,1,"demersal","WaterAssumed",52,80,"TL",7059,"very high",1,1,0,0,0,1,0,0,1,1,"never/rarely","never/rarely",NA,1,"harmless","no special ability",1,"Common in shallow coastal waters, also in estuaries (Ref. 2683), bays and lagoons, as well as in offshore trawling stations.  Feeds on crabs, echinoids and mollusks (Ref. 10001).  Occurs over hard substrate (Ref. 5377).",1,0,2,1992-02-06,65,2013-07-18,4960,"Ephippion","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes","Chordata",37,5193,"native","Mediterranean and Black Sea","No",80,3.54999995231628,19.2,25.7,27.9
"265","Epigonus constanciae",2506,"Epigonus",7321,"(Giglioli, 1880)","Epcon_u0.jpg",507,3783,"fusiform / normal","R",0,0,0,1,"bathydemersal","WaterAssumed",14.03,19.7000007629395,"SL",44983,"low",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Occurs chiefly on the upper portion of the continental slope.  Depth range from 200-600 m (Ref. 07321, 74332) and from 351-742 m in the eastern Ionian Sea (Ref. 56504, 74332).  A mesobenthic-pelagic species living mainly above the bottom (Ref. 31632).  Adults are strongly associated with the substrate (Ref. 4738).",0.5,0,2,1991-04-11,1472,2008-02-01,2506,"Epigonus","Epigonidae","Acropomatiformes","Teleostei","Osteichthyes","Chordata",37,2702,"native","Mediterranean and Black Sea","No",24.0300006866455,3.45000004768372,8.8,13.3,14.6
"266","Epigonus denticulatus",2507,"Epigonus",7321,"Dieuzeide, 1950","Epden_u0.jpg",507,3783,"fusiform / normal","R",0,0,0,1,"bathydemersal","WaterAssumed",10,20,"TL",4329,"low",0,0,0,0,0,1,0,0,0,0,"never/rarely","never/rarely",NA,0,"harmless","no special ability",1,"Adults benthic on the continental slope and collected with bottom trawls (Ref. 7321).  Juveniles are pelagic in depths of 130-145 and 350-425 m (Ref. 9563).  Feed on small fishes and planktonic invertebrates (Ref. 4738).  Oviparous (Ref. 4738).",0.5,0,2,1991-04-11,2,2008-01-07,2507,"Epigonus","Epigonidae","Acropomatiformes","Teleostei","Osteichthyes","Chordata",37,2703,"native","Mediterranean and Black Sea","No",20,3.42000007629395,6.9,11.3,14.7
"267","Epigonus telescopus",2508,"Epigonus",7321,"(Risso, 1810)","Eptel_m0.jpg",507,3783,"fusiform / normal","R",0,0,0,1,"bathydemersal","WaterAssumed",69.34,75,"TL",5755,"medium",0,0,0,0,0,1,0,0,0,0,"never/rarely","never/rarely",NA,0,"harmless","no special ability",1,"Adults benthic or benthopelagic on the continental slopes; juveniles pelagic (Ref. 7321).  Found on soft bottoms (Ref. 27121).  Non-territorial.  Carnivorous, feed on small fishes and planktonic invertebrates.",0.5,0,2,1991-04-15,2237,2023-01-11,2508,"Epigonus","Epigonidae","Acropomatiformes","Teleostei","Osteichthyes","Chordata",37,2704,"native","Mediterranean and Black Sea","No",75,3.58999991416931,4.6,8.9,13.8
